batch_size,window_stride,SourceTestLabelLoss,batch_size,source_distance
32,50,1.350133003570182,32,[14]
128,25,2.772610708108539,128,[14]
32,25,2.7726143152550433,32,[14]
128,25,2.7726051606213704,128,[14]
256,50,1.441691701034452,256,[14]
256,50,1.4174919919703688,256,[14]
128,25,1.5610302424091584,128,[14]
32,50,1.3575279400551883,32,[14]
32,50,2.772607618633934,32,[14]
128,25,1.6047043793005067,128,[14]
32,25,1.4811917172295772,32,[14]
128,50,1.475217949406025,128,[14]
32,25,1.2385793645503491,32,[14]
512,50,1.5770380163815367,512,[14]
256,25,1.5140994068699887,256,[14]
256,25,1.5082110547440408,256,[14]
128,50,1.4812253324223554,128,[14]
512,25,1.94254538506658,512,[14]
512,25,1.534119379051783,512,[14]
512,50,1.4742858834892847,512,[14]
32,25,2.7726034505570256,32,[14]
512,50,1.6950669432747256,512,[14]
512,50,2.772607431856107,512,[14]
32,25,2.772603436745853,32,[14]
512,25,1.836847339901468,512,[14]
256,25,1.6792567672273357,256,[14]
32,25,2.7726039263240967,32,[14]
32,50,0.9843391188870145,32,[14]
128,50,1.5243533753282377,128,[14]
32,50,0.9001809164518335,32,[14]
256,25,1.5508463146044407,256,[14]
128,25,1.5090376321613708,128,[14]
512,25,2.7726067359425035,512,[14]
256,25,1.6194005753041634,256,[14]
128,50,1.3766811868828248,128,[14]
32,25,1.3607953277701546,32,[14]
128,50,2.7726209262031754,128,[14]
512,25,1.90711177928516,512,[14]
128,50,2.7725989912101987,128,[14]
32,50,2.772601582459426,32,[14]
256,50,1.6509173461183546,256,[14]
512,50,1.7851983439037882,512,[14]
128,50,1.4008846562535877,128,[14]
512,50,1.6270121678607297,512,[14]
32,50,1.3802172215336088,32,[14]
256,50,1.8505305775960408,256,[14]
256,50,1.686134153005512,256,[14]
256,50,1.802933680562896,256,[14]
256,25,1.7677274497408253,256,[14]
256,25,2.772610008662841,256,[14]
512,50,1.8126216543291618,512,[14]
256,25,1.6734847380799835,256,[14]
128,25,1.5078286216003374,128,[14]
512,50,1.4498820098337948,512,[14]
128,25,1.4877687651545035,128,[14]
256,50,1.4736315467528147,256,[14]
32,50,2.772600372888505,32,[14]
32,25,1.426258336334259,32,[14]
128,25,1.5232972400633746,128,[14]
512,25,1.6260880789797336,512,[14]
512,25,1.7140385722121563,512,[14]
256,50,1.4866452442657736,256,[14]
512,25,1.5674839876511,512,[14]
128,50,1.4518242603629108,128,[14]
