1.3707696948636412,2293,depthwise
1.7622507835732188,6107,depthwise
1.2077034709883279,8134,depthwise
1.3256715233959413,15474,depthwise
1.863760851771309,6031,depthwise
1.314638317410117,4253,depthwise
1.1484295939878568,1710,depthwise
1.3842364972961787,1924,depthwise
1.113381038533256,5133,depthwise
1.2983465766057911,25792,depthwise
0.7999842340376133,2293,regular
1.2805554426032018,6107,regular
0.8400941649437186,8134,regular
0.9963381596006261,15474,regular
0.8282445277067791,6031,regular
0.9227885508069975,4253,regular
0.8998971536975504,1710,regular
1.062951820140179,1924,regular
0.9766507223969167,5133,regular
1.0251682086933374,25792,regular
